E,N,MOLASSE,PROFONDEUR,ALTITUDE,lat,lon
2499380.925509259,1118563.946336207,-350.0,-290.0,408.0,46.21098694421946,6.134812771485756
2499581.1533796294,1118563.946336207,-340.0,-296.0,392.0,46.21101688892618,6.137406870180529
2499781.38125,1118563.946336207,-337.3,-66.0,391.02,46.21104677404818,6.140000971710104
2497178.418935185,1118763.2209051722,-359.5,-68.0,423.0,46.21244595585716,6.106233963244356
2499180.697638889,1118763.2209051722,-366.25,-47.4,409.55,46.21274928579025,6.132175618282407
2499581.1533796294,1118962.4954741378,-366.29,-43.9,407.94,46.21460158469647,6.13732109426564
2499981.6091203704,1119361.0446120687,-369.5,-27.35,393.35,46.21824599944857,6.142424196259823
2500582.292731481,1119361.0446120687,-314.92,-70.7,374.22,46.2183351301838,6.150207551146303
2496177.279583333,1119560.3191810343,-390.0,-146.0,430.0,46.219461381521334,6.093085862092379
2495176.1402314813,1119759.59375,-302.0,-218.0,438.0,46.221098298726886,6.080068728342215
2498780.241898148,1119759.59375,-412.0,-254.0,446.0,46.22165081794816,6.126771081141996
2498980.4697685186,1119759.59375,-424.5,-9.1,433.1,46.22168094730688,6.129365683764495
2500782.520601852,1119759.59375,-361.08,-18.7,378.18,46.221949429702796,6.1527172351039185
2499180.697638889,1119958.8683189652,-412.265,-31.450000000000003,434.16499999999996,46.22350336370723,6.131917214970703
2500181.8369907406,1119958.8683189652,-358.71,-31.7,388.71,46.22365282345553,6.144890712117766
2500382.064861111,1119958.8683189652,-353.58,-37.5,387.23,46.22368253660974,6.1474854200300815
2495176.1402314813,1120158.1428879309,-301.90000000000003,-300.0,431.9,46.22468295212915,6.079979159758676
2499180.697638889,1120158.1428879309,-412.645,-24.75,435.6,46.22529571046789,6.131874137879502
2497578.874675926,1120357.4174568965,-373.0,-168.0,430.0,46.226845806848935,6.111072243927847
2498980.4697685186,1120755.9665948274,-438.1,-16.0,450.3,46.23064267680045,6.129149856988708
2499180.697638889,1120755.9665948274,-428.34,-21.5,447.94,46.23067275147099,6.131744889675088
2499180.697638889,1120955.241163793,-442.9,-28.1,457.0,46.23246509870663,6.1317018012956135
2498980.4697685186,1121154.5157327587,-426.8,-42.0,464.94500000000005,46.23422736942252,6.1290635064836625
2499180.697638889,1121154.5157327587,-436.175,-134.625,463.5,46.2342574460566,6.131658710093275
2499380.925509259,1121154.5157327587,-445.19,-12.95,456.64,46.23428746308101,6.1342539165531464
2496577.735324074,1121353.7903017239,-324.0,-300.0,428.0,46.235654134851515,6.097877082433597
2499380.925509259,1121353.7903017239,-445.21,-18.0,460.21,46.236079811523545,6.134210907997949
2496177.279583333,1121553.0648706895,-385.0,-185.0,435.0,46.237384702771294,6.092642203398072
2496777.9631944443,1121553.0648706895,-327.0,-287.0,425.0,46.237477263459105,6.100428214331008
2499180.697638889,1121553.0648706895,-414.325,-99.0,457.975,46.23784214109271,6.131572519218722
2495576.5959722223,1121752.3394396552,-404.73,-95.3,438.73,46.23908393528804,6.084811580601322
2496177.279583333,1121752.3394396552,-353.35,-105.2,433.75,46.23917703551994,6.092597821541535
2497979.3304166663,1121752.3394396552,-373.0,-150.0,417.0,46.23945311706792,6.11595670229348
2499180.697638889,1121752.3394396552,-401.97,-42.0,440.32,46.239634488775344,6.131529419545868
2496377.507453704,1121951.6140086204,-349.70000000000005,-118.1,428.74,46.24100028356792,6.095148941785315
2496577.735324074,1121951.6140086204,-350.95000000000005,-105.5,428.70500000000004,46.241031139145186,6.0977444497243205
2499180.697638889,1121951.6140086204,-407.0,-290.0,429.0,46.24142683656536,6.131486317048872
